,precision,recall,f1-score,support
0,1.0,0.9523809523809523,0.975609756097561,21.0
1,0.9818181818181818,1.0,0.9908256880733946,54.0
2,1.0,1.0,1.0,78.0
3,0.9411764705882353,0.963855421686747,0.9523809523809523,83.0
4,0.9875518672199171,0.9794238683127572,0.9834710743801653,243.0
accuracy,0.9812108559498957,0.9812108559498957,0.9812108559498957,0.9812108559498957
macro avg,0.9821093039252669,0.9791320484760913,0.9804574941864146,479.0
weighted avg,0.9814424480405953,0.9812108559498957,0.9812598792401072,479.0
